"Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions","gene_ID"
"Chir01Ox-b41040.23",3.06777e-27,0.4363668,0.164,0.046,6.031236e-23,15,"Chir01Ox-b41040.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b41040.23"
"Chir07Ox-b35740.2",1.197216e-152,0.4664632,0.342,0.047,2.353726e-148,15,"Chir07Ox-b35740.2",18113,"AT4G39955",1461,1978,NA,NA,NA,"oxoacid metabolic process, secondary metabolic process","Chir07Ox-b35740.2"
"Chir07Ox-b03110.2",2.290169e-16,0.2742866,0.137,0.047,4.502472e-12,15,"Chir07Ox-b03110.2",15635,"AT5G39670",874,888,NA,NA,"CML46","calcium ion binding, cellular_component, negative regulation of defense response to bacterium","Chir07Ox-b03110.2"
"Chir06Ox-b21860.21",1.351243e-80,0.5163929,0.262,0.048,2.656544e-76,15,"Chir06Ox-b21860.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b21860.21"
"Chir05Ox-b16230.21",2.163584e-40,0.6063168,0.197,0.048,4.253607e-36,15,"Chir05Ox-b16230.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b16230.21"
"Chir01Ox-b11030.2",7.680781e-24,0.2960027,0.158,0.048,1.510042e-19,15,"Chir01Ox-b11030.2",927,"AT1G11210",1520,1330,NA,NA,"T28P6.13","molecular_function, response to oxidative stress","Chir01Ox-b11030.2"
"Chir04Ox-b29460.2",1.260236e-56,0.3548154,0.227,0.049,2.477624e-52,15,"Chir04Ox-b29460.2",10361,"AT2G46535",744,984,NA,NA,NA,"carbohydrate derivative metabolic process, mitochondrion, molecular_function, oxoacid metabolic process, secondary metabolic process, tissue development","Chir04Ox-b29460.2"
"Chir07Ox-b27520.2",8.333402e-30,0.4178918,0.175,0.049,1.638347e-25,15,"Chir07Ox-b27520.2",17394,"AT4G30250",2033,2171,NA,NA,"F9N11.100","ATP binding, ATP hydrolysis activity, floral organ development, floral whorl development, meiotic cell cycle process, pattern specification process, phyllome development, plant organ formation, plasma membrane, response to jasmonic acid","Chir07Ox-b27520.2"
"Chir08Ox-b27840.21",3.261654e-107,0.3887017,0.306,0.05,6.412412e-103,15,"Chir08Ox-b27840.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b27840.21"
"Chir07Ox-b24940.2",4.718638e-98,0.4335437,0.295,0.051,9.276843e-94,15,"Chir07Ox-b24940.2",17173,"AT4G27740",767,804,NA,NA,"T29A15.230","defense response to fungus, molecular_function, nucleus, plasma membrane, response to salicylic acid","Chir07Ox-b24940.2"
"Chir03Ox-b34470.2",2.960235e-71,0.2691226,0.254,0.051,5.819822e-67,15,"Chir03Ox-b34470.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b34470.2"
"Chir06Ox-b35070.2",4.186874e-193,0.6679727,0.399,0.052,8.231393e-189,15,"Chir06Ox-b35070.2",15194,"AT5G03860",2365,2874,NA,NA,"MLS","cytoplasm, glyoxylate cycle, malate synthase activity, nucleus","Chir06Ox-b35070.2"
"Chir02Ox-b16340.21",5.073462e-54,0.2759485,0.232,0.053,9.974426e-50,15,"Chir02Ox-b16340.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b16340.21"
"Chir01Ox-b35290.21",4.993367e-26,0.2628138,0.178,0.054,9.81696e-22,15,"Chir01Ox-b35290.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b35290.21"
"Chir04Ox-b12980.2",0,1.416178,0.757,0.055,0,15,"Chir04Ox-b12980.2",8990,"AT2G31160",1174,1788,NA,NA,"LSH3","maintenance of shoot apical meristem identity, mRNA transcription, nucleus, organ boundary specification between lateral organs and the meristem, petal development, post-embryonic plant morphogenesis, response to light stimulus, specification of petal number","Chir04Ox-b12980.2"
"Chir04Ox-b17740.21",4.915137e-63,0.2765741,0.254,0.055,9.66316e-59,15,"Chir04Ox-b17740.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b17740.21"
"Chir04Ox-b15000.21",6.620753e-34,0.2516149,0.199,0.055,1.30164e-29,15,"Chir04Ox-b15000.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b15000.21"
"Chir02Ox-b00230.21",5.974903e-45,0.3268999,0.23,0.057,1.174666e-40,15,"Chir02Ox-b00230.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b00230.21"
"Chir01Ox-b31990.2",4.473195e-16,0.2748316,0.153,0.057,8.794302e-12,15,"Chir01Ox-b31990.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b31990.2"
"Chir02Ox-b19350.2",2.523785e-20,0.2991436,0.167,0.058,4.961762e-16,15,"Chir02Ox-b19350.2",4712,"AT1G72660",2664,3087,NA,NA,"Drg1-3","cytoplasm, cytoplasmic translation, GDP binding, GTP binding, GTPase activity, mitochondrion, mRNA binding","Chir02Ox-b19350.2"
"Chir08Ox-b16470.22",0,2.968008,0.708,0.06,0,15,"Chir08Ox-b16470.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b16470.22"
"Chir07Ox-b10310.22",4.430769e-82,0.6663611,0.301,0.06,8.710893e-78,15,"Chir07Ox-b10310.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b10310.22"
"Chir01Ox-b36290.2",5.637275e-140,0.7052222,0.374,0.061,1.108288e-135,15,"Chir01Ox-b36290.2",2901,"AT1G47655",1334,966,"Yes","Dof","AT1G47655.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","Chir01Ox-b36290.2"
"Chir03Ox-b34480.2",2.142889e-119,0.4119803,0.347,0.061,4.21292e-115,15,"Chir03Ox-b34480.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b34480.2"
"Chir01Ox-b14900.22",2.32767e-87,0.7404071,0.306,0.061,4.576199e-83,15,"Chir01Ox-b14900.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b14900.22"
"Chir07Ox-b28990.21",4.853836e-34,0.3023456,0.216,0.062,9.542642e-30,15,"Chir07Ox-b28990.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b28990.21"
"Chir01Ox-b16570.2",0,2.009779,0.839,0.063,0,15,"Chir01Ox-b16570.2",1386,"AT1G16530",1766,1615,"Yes","LBD","LBD3","cell differentiation, nucleus, root morphogenesis, tissue development, transcription cis-regulatory region binding","Chir01Ox-b16570.2"
"Chir08Ox-b30250.2",1.293646e-62,0.2691184,0.273,0.063,2.543309e-58,15,"Chir08Ox-b30250.2",20523,"AT5G66310",5646,6055,NA,NA,"K1L20.9","cell division, cellular lipid metabolic process, defense response to other organism, developmental growth, microtubule binding, microtubule motor activity, microtubule-based movement, nucleus, plant-type cell wall organization or biogenesis, plasmodesma","Chir08Ox-b30250.2"
"Chir03Ox-b15040.22",4.558506e-29,0.3753398,0.205,0.063,8.962024e-25,15,"Chir03Ox-b15040.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b15040.22"
"Chir03Ox-b19330.21",2.676875e-199,0.7549832,0.451,0.064,5.262737e-195,15,"Chir03Ox-b19330.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b19330.21"
"Chir05Ox-b07230.2",3.101345e-36,0.2523556,0.221,0.064,6.097245e-32,15,"Chir05Ox-b07230.2",11021,"AT3G29180",3562,3466,NA,NA,"MUO22.2","cell differentiation, cellular catabolic process, cellular lipid metabolic process, cellular response to hormone stimulus, cellular_component, defense response, developmental growth, lipid biosynthetic process, molecular_function, root development, signal transduction, tissue development","Chir05Ox-b07230.2"
"Chir04Ox-b02160.22",2.208944e-06,0.3776276,0.123,0.065,0.04342784,15,"Chir04Ox-b02160.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b02160.22"
"Chir03Ox-b30470.21",3.872338e-99,0.6467957,0.339,0.067,7.613017e-95,15,"Chir03Ox-b30470.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b30470.21"
"Chir03Ox-b32100.2",9.688986e-63,0.3648835,0.281,0.067,1.904855e-58,15,"Chir03Ox-b32100.2",7919,"AT2G17710",1197,1150,NA,NA,"T17A5.17","biological_process, mitochondrion, molecular_function","Chir03Ox-b32100.2"
"Chir05Ox-b14990.2",6.356253e-61,0.3207857,0.276,0.067,1.249639e-56,15,"Chir05Ox-b14990.2",11494,"AT3G49940",1267,1865,"Yes","LBD","AT3G49940.1","cellular metal ion homeostasis, chemical homeostasis, defense response, defense response to fungus, immune system process, mitochondrion, protein binding, regulation of gene expression, response to bacterium, response to fungus, response to hypoxia, response to nitrogen compound, response to organic cyclic compound, response to oxidative stress, response to wounding","Chir05Ox-b14990.2"
"Chir04Ox-b18820.22",1.403566e-197,0.8300882,0.462,0.068,2.759411e-193,15,"Chir04Ox-b18820.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b18820.22"
"Chir05Ox-b02030.22",2.381207e-114,0.8134373,0.374,0.068,4.681453e-110,15,"Chir05Ox-b02030.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b02030.22"
"Chir08Ox-b27550.21",1.834957e-07,0.4170636,0.134,0.069,0.003607525,15,"Chir08Ox-b27550.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b27550.21"
"Chir04Ox-b09280.21",7.231742e-126,0.5167096,0.385,0.07,1.42176e-121,15,"Chir04Ox-b09280.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b09280.21"
"Chir08Ox-b28080.2",3.080337e-118,0.5211937,0.372,0.07,6.055943e-114,15,"Chir08Ox-b28080.2",20345,"AT5G65400",2204,2027,NA,NA,"AT5G65400.1","chloroplast, lipid metabolic process, monocarboxylic acid metabolic process, organic acid biosynthetic process, peroxisome","Chir08Ox-b28080.2"
"Chir05Ox-b22660.21",6.782395e-75,0.4583362,0.309,0.071,1.333419e-70,15,"Chir05Ox-b22660.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b22660.21"
"Chir06Ox-b14230.2",7.222338e-75,0.3611445,0.311,0.071,1.419912e-70,15,"Chir06Ox-b14230.2",13450,"AT5G25530",1864,1857,NA,NA,"AT5G25530.1","chaperone binding, chaperone cofactor-dependent protein refolding, cytoplasm, cytosol, protein folding, unfolded protein binding","Chir06Ox-b14230.2"
"Chir08Ox-b28560.22",5.295687e-25,0.9042724,0.208,0.071,1.041132e-20,15,"Chir08Ox-b28560.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b28560.22"
"Chir02Ox-b07300.2",5.788378e-157,0.5636577,0.429,0.072,1.137995e-152,15,"Chir02Ox-b07300.2",3929,"AT5G48180",1752,1823,NA,NA,"NSP5","cytoplasm, cytosol, enzyme regulator activity, glucosinolate catabolic process, nitrile biosynthetic process, nucleus, plastid","Chir02Ox-b07300.2"
"Chir03Ox-b31220.22",2.785427e-16,0.5423035,0.186,0.075,5.476149e-12,15,"Chir03Ox-b31220.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b31220.22"
"Chir08Ox-b05120.2",1.954421e-77,0.3878703,0.325,0.076,3.842391e-73,15,"Chir08Ox-b05120.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b05120.2"
"Chir04Ox-b20280.21",1.147214e-119,1.01288,0.393,0.077,2.255423e-115,15,"Chir04Ox-b20280.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b20280.21"
"Chir07Ox-b30320.2",2.420759e-75,0.3798518,0.325,0.077,4.759213e-71,15,"Chir07Ox-b30320.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b30320.2"
"Chir01Ox-b14720.2",4.381499e-09,0.350463,0.156,0.077,8.614027e-05,15,"Chir01Ox-b14720.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b14720.2"
"Chir07Ox-b35240.21",3.065544e-142,1.246312,0.432,0.078,6.02686e-138,15,"Chir07Ox-b35240.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b35240.21"
"Chir01Ox-b25050.2",1.142415e-44,0.304168,0.265,0.078,2.245989e-40,15,"Chir01Ox-b25050.2",2109,"AT1G26150",1559,4227,NA,NA,"AtPERK10","nucleus, plasma membrane, protein kinase binding, protein phosphorylation, protein serine/threonine kinase activity","Chir01Ox-b25050.2"
"Chir01Ox-b19910.21",8.333074e-195,0.7191051,0.492,0.079,1.638282e-190,15,"Chir01Ox-b19910.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b19910.21"
"Chir08Ox-b06940.22",8.902982e-128,0.7649956,0.421,0.079,1.750326e-123,15,"Chir08Ox-b06940.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b06940.22"
"Chir06Ox-b04670.21",1.035909e-23,0.3851174,0.216,0.08,2.036596e-19,15,"Chir06Ox-b04670.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b04670.21"
"Chir06Ox-b18600.2",1.000937e-108,0.4579424,0.391,0.082,1.967842e-104,15,"Chir06Ox-b18600.2",13815,"AT5G20420",4815,5452,NA,NA,"CLSY2","nucleus","Chir06Ox-b18600.2"
"Chir01Ox-b23400.21",3.927242e-133,0.6162899,0.432,0.083,7.720958e-129,15,"Chir01Ox-b23400.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b23400.21"
"Chir03Ox-b28360.21",4.883694e-89,0.4142564,0.366,0.083,9.601342e-85,15,"Chir03Ox-b28360.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b28360.21"
"Chir02Ox-b20100.23",3.652761e-142,0.828574,0.448,0.084,7.181328e-138,15,"Chir02Ox-b20100.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b20100.23"
"Chir06Ox-b36200.21",1.555401e-49,0.3326342,0.29,0.084,3.057919e-45,15,"Chir06Ox-b36200.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b36200.21"
"Chir02Ox-b11840.2",1.431558e-14,0.2662921,0.186,0.084,2.814443e-10,15,"Chir02Ox-b11840.2",4158,"AT1G66140",2333,2287,"Yes","C2H2","AT1G66140.1","chloroplast, DNA-binding transcription factor activity, glucosinolate metabolic process, negative regulation of abscisic acid-activated signaling pathway, regulation of DNA-templated transcription, transcription cis-regulatory region binding","Chir02Ox-b11840.2"
"Chir03Ox-b30070.21",8.391992e-307,1.437564,0.628,0.085,1.649866e-302,15,"Chir03Ox-b30070.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b30070.21"
"Chir07Ox-b13690.2",1.380548e-39,0.3023196,0.27,0.085,2.714156e-35,15,"Chir07Ox-b13690.2",16269,"AT5G51630",8884,6812,NA,NA,"AT5G51630.2","ADP binding, cytoplasm, defense response, signal transduction","Chir07Ox-b13690.2"
"Chir01Ox-b42810.23",9.846481e-92,0.8815851,0.38,0.086,1.935818e-87,15,"Chir01Ox-b42810.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b42810.23"
"Chir01Ox-b04640.2",8.813786e-29,0.456431,0.24,0.086,1.73279e-24,15,"Chir01Ox-b04640.2",394,"AT1G05370",3240,3322,NA,NA,"YUP8H12.1","anatomical structure formation involved in morphogenesis, meiotic cell cycle process, meristem maintenance, molecular_function, nucleus, organelle organization","Chir01Ox-b04640.2"
"Chir02Ox-b01960.23",2.677901e-29,0.6345679,0.251,0.088,5.264754e-25,15,"Chir02Ox-b01960.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b01960.23"
"Chir03Ox-b19180.22",7.122004e-25,0.3035137,0.235,0.088,1.400186e-20,15,"Chir03Ox-b19180.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b19180.22"
"Chir08Ox-b25990.24",6.45914e-10,1.190829,0.175,0.088,1.269867e-05,15,"Chir08Ox-b25990.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b25990.24"
"Chir02Ox-b12560.2",1.337488e-32,0.3204877,0.257,0.089,2.629501e-28,15,"Chir02Ox-b12560.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b12560.2"
"Chir02Ox-b12400.22",8.748528e-18,0.2642768,0.216,0.089,1.719961e-13,15,"Chir02Ox-b12400.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b12400.22"
"Chir08Ox-b05540.22",7.492643e-06,0.3145037,0.153,0.089,0.1473054,15,"Chir08Ox-b05540.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b05540.22"
"Chir06Ox-b05340.2",5.327729e-22,0.2876582,0.224,0.09,1.047431e-17,15,"Chir06Ox-b05340.2",12961,"AT5G43910",2492,2982,NA,NA,"AT5G43910.1","cytoplasm, defense response to bacterium, defense response to fungus, phosphorylation, phosphotransferase activity, alcohol group as acceptor, regulation of defense response, response to abscisic acid, response to inorganic substance, response to jasmonic acid","Chir06Ox-b05340.2"
"Chir06Ox-b17670.21",9.011676e-22,0.3111468,0.224,0.09,1.771695e-17,15,"Chir06Ox-b17670.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b17670.21"
"Chir06Ox-b37780.2",2.67756e-209,1.136478,0.536,0.091,5.264084e-205,15,"Chir06Ox-b37780.2",15418,"AT5G01840",1301,1250,NA,NA,"ATOFP1","cell growth, cortical microtubule organization, cytoskeleton, negative regulation of DNA-templated transcription, nucleolus, nucleus, protein binding, regulation of unidimensional cell growth, response to dexamethasone","Chir06Ox-b37780.2"
"Chir07Ox-b02150.22",1.377366e-18,0.6765051,0.216,0.091,2.707902e-14,15,"Chir07Ox-b02150.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b02150.22"
"Chir08Ox-b03450.21",2.955587e-155,0.6378973,0.484,0.092,5.810685e-151,15,"Chir08Ox-b03450.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b03450.21"
"Chir01Ox-b10130.2",2.391919e-26,0.2768731,0.246,0.093,4.702512e-22,15,"Chir01Ox-b10130.2",852,"AT1G10410",3106,3261,NA,NA,"F14N23.31","cellular catabolic process, cellular response to light stimulus, defense response to bacterium, fatty acid metabolic process, molecular_function, nucleus, protein catabolic process, response to abscisic acid, response to jasmonic acid, response to osmotic stress, response to water deprivation","Chir01Ox-b10130.2"
"Chir06Ox-b17160.24",0,2.900576,0.708,0.094,0,15,"Chir06Ox-b17160.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b17160.24"
"Chir06Ox-b08920.21",1.004129e-83,0.6259649,0.38,0.094,1.974118e-79,15,"Chir06Ox-b08920.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b08920.21"
"Chir04Ox-b10040.22",1.278286e-43,0.5557075,0.306,0.096,2.513111e-39,15,"Chir04Ox-b10040.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b10040.22"
"Chir07Ox-b28970.2",6.993868e-79,0.4783869,0.372,0.097,1.374994e-74,15,"Chir07Ox-b28970.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b28970.2"
"Chir07Ox-b11520.23",3.273581e-63,1.452803,0.347,0.097,6.43586e-59,15,"Chir07Ox-b11520.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b11520.23"
"Chir02Ox-b16500.21",3.307671e-45,0.3484211,0.303,0.097,6.502881e-41,15,"Chir02Ox-b16500.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b16500.21"
"Chir06Ox-b21550.22",3.156177e-13,0.2930763,0.202,0.097,6.205044e-09,15,"Chir06Ox-b21550.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b21550.22"
"Chir02Ox-b16950.23",2.312077e-32,0.3298007,0.281,0.098,4.545544e-28,15,"Chir02Ox-b16950.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir02Ox-b16950.23"
"Chir07Ox-b29750.22",1.910113e-18,1.242747,0.227,0.098,3.755282e-14,15,"Chir07Ox-b29750.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b29750.22"
"Chir08Ox-b28070.22",1.039013e-113,0.979376,0.434,0.099,2.042699e-109,15,"Chir08Ox-b28070.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b28070.22"
"Chir01Ox-b21180.2",3.171562e-34,0.2647328,0.279,0.099,6.235292e-30,15,"Chir01Ox-b21180.2",1791,"AT1G21410",2355,2618,NA,NA,"AT1G21410.1","cellular response to auxin stimulus, lateral root formation, nucleus, positive regulation of cell division, protein binding, SCF ubiquitin ligase complex, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, ubiquitin-protein transferase activity","Chir01Ox-b21180.2"
"Chir07Ox-b29220.21",1.191076e-18,0.2659628,0.23,0.099,2.341655e-14,15,"Chir07Ox-b29220.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b29220.21"
"Chir01Ox-b24510.23",3.042126e-16,0.3645483,0.224,0.099,5.98082e-12,15,"Chir01Ox-b24510.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b24510.23"
"Chir04Ox-b21780.22",5.486091e-54,0.5038905,0.328,0.1,1.078566e-49,15,"Chir04Ox-b21780.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b21780.22"
"Chir05Ox-b05760.2",4.708566e-41,0.288207,0.298,0.1,9.257041e-37,15,"Chir05Ox-b05760.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b05760.2"
"Chir07Ox-b35820.21",1.409361e-26,0.4097609,0.257,0.1,2.770803e-22,15,"Chir07Ox-b35820.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b35820.21"
"Chir05Ox-b09870.22",1.663746e-23,1.379919,0.246,0.1,3.270925e-19,15,"Chir05Ox-b09870.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b09870.22"
"Chir07Ox-b10850.2",8.802323e-227,0.8575487,0.585,0.101,1.730537e-222,15,"Chir07Ox-b10850.2",16064,"AT4G14723",1249,1002,NA,NA,"CLL2","guard cell differentiation, molecular_function, stomatal complex development","Chir07Ox-b10850.2"
"Chir06Ox-b27160.21",3.467453e-99,0.471691,0.432,0.104,6.817013e-95,15,"Chir06Ox-b27160.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b27160.21"
"Chir06Ox-b11590.21",0,1.748557,0.885,0.105,0,15,"Chir06Ox-b11590.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir06Ox-b11590.21"
"Chir01Ox-b36300.21",2.108017e-112,0.5271794,0.454,0.108,4.144362e-108,15,"Chir01Ox-b36300.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b36300.21"
"Chir07Ox-b11980.21",5.496398e-105,0.5274504,0.443,0.108,1.080592e-100,15,"Chir07Ox-b11980.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b11980.21"
"Chir07Ox-b35250.2",2.004597e-115,0.5948676,0.462,0.11,3.941037e-111,15,"Chir07Ox-b35250.2",18070,"AT4G37810",995,1084,NA,NA,"AtEPFL2","extracellular region, guard cell differentiation, molecular_function, stomatal complex development","Chir07Ox-b35250.2"
"Chir01Ox-b28840.22",5.177726e-207,0.9536212,0.607,0.113,1.017941e-202,15,"Chir01Ox-b28840.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b28840.22"
"Chir03Ox-b11340.21",8.508835e-94,0.6307319,0.44,0.117,1.672837e-89,15,"Chir03Ox-b11340.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b11340.21"
"Chir07Ox-b16210.22",6.31079e-126,1.45543,0.508,0.124,1.240701e-121,15,"Chir07Ox-b16210.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b16210.22"
"Chir01Ox-b26870.21",2.56122e-88,0.8552466,0.445,0.125,5.035359e-84,15,"Chir01Ox-b26870.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b26870.21"
"Chir05Ox-b19890.21",8.26228e-89,0.5330657,0.459,0.13,1.624364e-84,15,"Chir05Ox-b19890.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b19890.21"
"Chir05Ox-b02990.22",7.187255e-95,0.643373,0.473,0.131,1.413014e-90,15,"Chir05Ox-b02990.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b02990.22"
"Chir04Ox-b06260.2",1.624338e-94,0.6753992,0.486,0.15,3.193449e-90,15,"Chir04Ox-b06260.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b06260.2"
"Chir06Ox-b17870.2",2.971998e-73,0.5355627,0.456,0.152,5.842949e-69,15,"Chir06Ox-b17870.2",13750,"AT5G21482",3732,3698,NA,NA,"ATCKX5","cytokinin catabolic process, cytokinin dehydrogenase activity, extracellular region, FAD binding, oxidoreductase activity","Chir06Ox-b17870.2"
"Chir03Ox-b31530.2",5.400175e-101,0.6017136,0.525,0.156,1.061674e-96,15,"Chir03Ox-b31530.2",7877,"AT2G17280",1966,1989,NA,NA,"F5J6.4","carbohydrate derivative metabolic process, cytoplasm, phosphatase activity, response to hypoxia, response to light stimulus","Chir03Ox-b31530.2"
"Chir05Ox-b12980.22",7.549516e-66,0.4891208,0.464,0.156,1.484235e-61,15,"Chir05Ox-b12980.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b12980.22"
"Chir07Ox-b32930.22",3.934325e-74,0.6604655,0.486,0.158,7.734883e-70,15,"Chir07Ox-b32930.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b32930.22"
"Chir02Ox-b08290.2",2.244501e-69,0.4692645,0.467,0.159,4.412688e-65,15,"Chir02Ox-b08290.2",3973,"AT1G56720",3456,3125,NA,NA,"F25P12.84","cellular_component, protein autophosphorylation, protein serine/threonine kinase activity","Chir02Ox-b08290.2"
"Chir04Ox-b16010.23",8.22972e-118,2.296597,0.577,0.161,1.617963e-113,15,"Chir04Ox-b16010.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b16010.23"
"Chir05Ox-b12990.24",0,1.937641,0.874,0.169,0,15,"Chir05Ox-b12990.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b12990.24"
"Chir08Ox-b28310.21",3.832411e-104,1.063836,0.549,0.177,7.53452e-100,15,"Chir08Ox-b28310.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir08Ox-b28310.21"
"Chir03Ox-b15700.21",1.771143e-110,0.8694038,0.631,0.182,3.482067e-106,15,"Chir03Ox-b15700.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir03Ox-b15700.21"
"Chir07Ox-b17140.23",4.557639e-99,1.205993,0.571,0.184,8.960319e-95,15,"Chir07Ox-b17140.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir07Ox-b17140.23"
"Chir05Ox-b22010.23",5.065362e-65,1.227028,0.508,0.186,9.958502e-61,15,"Chir05Ox-b22010.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir05Ox-b22010.23"
"Chir04Ox-b13940.23",1.032167e-70,1.338991,0.511,0.187,2.02924e-66,15,"Chir04Ox-b13940.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir04Ox-b13940.23"
"Chir01Ox-b27110.21",1.434366e-123,1.038927,0.612,0.189,2.819964e-119,15,"Chir01Ox-b27110.2",NA,NA,NA,NA,NA,NA,NA,NA,"Chir01Ox-b27110.21"
